"#build",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
,,,,"d",,,,,,,,,,"d",,,,,,,,"d",,,,,,,,,,"d",,,,,"#"
,,,"c","t","f",,,,,,,,"f","t","c",,,,,,"c","t","f",,,,,,,,"f","t","c",,,,"#"
,,,,"b",,,"f",,,,"f",,,"b",,,,,,,,"b",,,"f",,,,"f",,,"b",,,,,"#"
,,"c",,,,"b","t","d",,"d","t","b",,,,"c",,,,"c",,,,"b","t","d",,"d","t","b",,,,"c",,,"#"
,"d","t","b",,,,"c",,,,"c",,,,"b","t","d",,"d","t","b",,,,"c",,,,"c",,,,"b","t","d",,"#"
,,"f",,,"b",,,,,,,,,,,"f",,,,"f",,,,,,,,,,,"b",,,"f",,,"#"
,,,,"f","t","c",,,,,,,,,,,,,,,,,,,,,,,,"c","t","f",,,,,"#"
,,,,,"d",,,,,,,,,,,,,,,,,,,,,,,,,,"d",,,,,,"#"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
,,,,,"d",,,,,,,,,,,,,,,,,,,,,,,,,,"d",,,,,,"#"
,,,,"f","t","c",,,,,,,,,,,,,,,,,,,,,,,,"c","t","f",,,,,"#"
,,"f",,,"b",,,,,,,,,,,,,,,,,,,,,,,,,,"b",,,"f",,,"#"
,"d","t","b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b","t","d",,"#"
,,"c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c",,,"#"
,,,,"b",,,,,,,,,,,,,,,,,,,,,,,,,,,,"b",,,,,"#"
,,,"c","t","f",,,,,,,,,,,,,,,,,,,,,,,,,,"f","t","c",,,,"#"
,,,,"d",,,,,,,,,,,,,,,,,,,,,,,,,,,,"d",,,,,"#"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
,,,,"d",,,,,,,,,,,,,,,,,,,,,,,,,,,,"d",,,,,"#"
,,,"c","t","f",,,,,,,,,,,,,,,,,,,,,,,,,,"f","t","c",,,,"#"
,,,,"b",,,,,,,,,,,,,,,,,,,,,,,,,,,,"b",,,,,"#"
,,"c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c",,,"#"
,"d","t","b",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"b","t","d",,"#"
,,"f",,,"b",,,,,,,,,,,,,,,,,,,,,,,,,,"b",,,"f",,,"#"
,,,,"f","t","c",,,,,,,,,,,,,,,,,,,,,,,,"c","t","f",,,,,"#"
,,,,,"d",,,,,,,,,,,,,,,,,,,,,,,,,,"d",,,,,,"#"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
,,,,,"d",,,,,,,,,,,,,,,,,,,,,,,,,,"d",,,,,,"#"
,,,,"f","t","c",,,,,,,,,,,,,,,,,,,,,,,,"c","t","f",,,,,"#"
,,"f",,,"b",,,,,,,,,,,"f",,,,"f",,,,,,,,,,,"b",,,"f",,,"#"
,"d","t","b",,,,"c",,,,"c",,,,"b","t","d",,"d","t","b",,,,"c",,,,"c",,,,"b","t","d",,"#"
,,"c",,,,"b","t","d",,"d","t","b",,,,"c",,,,"c",,,,"b","t","d",,"d","t","b",,,,"c",,,"#"
,,,,"b",,,"f",,,,"f",,,"b",,,,,,,,"b",,,"f",,,,"f",,,"b",,,,,"#"
,,,"c","t","f",,,,,,,,"f","t","c",,,,,,"c","t","f",,,,,,,,"f","t","c",,,,"#"
,,,,"d",,,,,,,,,,"d",,,,,,,,"d",,,,,,,,,,"d",,,,,"#"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"#"
"#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
